ProcessName,AT,BT,Priority,IOtriggerTime,IODuration
Patient_Registration,0,3,3,1,2
Emergency_Triage,1,4,1,2,2
Nurse_Assistance,2,3,4,1,2
Medical_Record,3,5,3,2,2
Vital_Check,4,2,5,1,1
Doctor_Queue,5,4,2,2,2
Lab_Request,6,3,4,1,2
Prescription_Check,7,5,3,2,2
Patient_Review,8,2,2,1,1
Bed_Assignment,9,4,5,2,2
Pharmacy_Request,10,3,4,1,2
Discharge_Check,11,5,3,2,2
Nurse_Update,12,2,5,1,1
Medical_Scan,13,4,2,2,2
Lab_Result,14,3,4,1,2
Doctor_Approval,15,5,3,2,2
Patient_Transfer,16,2,5,1,1
Billing_Check,17,4,4,2,2
Insurance_Verification,18,3,3,1,2
Followup_Scheduling,19,5,2,2,2
Emergency_Update,20,2,1,1,1
Report_Update,21,4,4,2,2
Patient_Notification,22,3,5,1,2
Final_Review,23,5,3,2,2
